id,original_title,title,original_language,overview,release_date,popularity,vote_average,budget,revenue,runtime,genre_names,collection,collection_name,release_year,release_month,release_day
210947,Afflicted,Afflicted,en,friends' tour europe takes dark turn contracts mysterious illness. race find what how cure before sickness consumes completely.,2014-04-04,15.868,6.5,318000,121179,85,"Horror, Thriller",,,2014,4,4
77883,The Possession,The Possession,en,"young girl buys antique box yard sale, unaware inside collectible lives malicious ancient spirit. girl's father teams ex-wife find way end curse upon child.",2012-08-30,15.816,6.0,14000000,85446075,92,"Horror, Thriller",,,2012,8,30
2655,What Lies Beneath,What Lies Beneath,en,"claire spencer starts hearing ghostly voices seeing spooky images, wonders if otherworldly spirit trying contact her. all while, husband tries reassure telling it's all head. claire investigates, discovers loves might know more than he's letting on.",2000-07-21,15.747,6.4,100000000,291420351,130,"Drama, Horror, Mystery, Thriller",,,2000,7,21
8843,The Cell,The Cell,en,psychotherapist journeys inside comatose serial killer hopes saving latest victim.,2000-08-17,15.71,6.3,33000000,104155843,107,"Horror, Science Fiction, Thriller",223564.0,The Cell Collection,2000,8,17
12590,Below,Below,en,"dark silence sea during world war ii, submarine uss tiger shark prowls what should routine rescue mission. shell-shocked crew, trapped together sub's narrow corridors constricted spaces, about become journey sensory delusions, mental deceptions runaway fears lurk just below surface ocean.",2002-08-11,15.665,6.1,40000000,2622015,105,"Horror, Mystery, Thriller",,,2002,8,11
9666,呪怨2,Ju-on: The Grudge 2,ja,"while driving , pregnant horror-movie actress kyôko harase fiancé car crash. loses baby fiancé winds coma. kyôko cursed together television crew shot show haunted house where kayako brutally murdered husband years ago. while each member team dies or disappears, kyôko informed three-and-a-half-month-old fetus womb.",2003-08-15,15.602,6.3,20000000,70700000,92,"Horror, Thriller",1972.0,Ju-on Collection,2003,8,15
2654,In the Mouth of Madness,In the Mouth of Madness,en,insurance investigator begins discovering impact horror writer's books fans more than inspirational.,1995-02-03,15.596,7.2,8000000,8946600,95,"Horror, Mystery, Thriller",,,1995,2,3
12521,Shocker,Shocker,en,"being sent electric chair, serial killer uses electricity come back dead carry vengeance football player turned police.",1989-10-27,15.526,5.6,5000000,16554699,109,Horror,,,1989,10,27
11773,Village of the Damned,Village of the Damned,en,"small english village everyone suddenly falls unconscious. awake every child bearing age pregnant. resulting children same strange blond hair, eyes strong connection each other.",1960-06-16,15.516,7.2,200000,2175000,77,"Horror, Science Fiction",746434.0,The Damned Collection,1960,6,16
13022,Rogue,Rogue,en,"director wolf creek comes terrifying look nature's perfect killing machine. group tourists stumble remote australian river territory enormous crocodile, deadly creature traps tiny mud island tide quickly rising darkness descending. hungry predator closes in, must fight survival against all odds.",2007-11-08,15.408,6.4,20000000,4609644,99,"Action, Horror, Thriller",,,2007,11,8
